Number of measurement points: 43672
Sample Rate (Hz): 500
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.162509464193135	-1.76257998216897
1	0.002	-0.0903645777143538	-1.76386828371324
2	0.004	-0.0993826885242015	-1.76386828371324
3	0.006	-0.0929411808028817	-1.76644488680176
4	0.008	-0.0993826885242015	-1.76773318834603
5	0.01	-0.0942294823471457	-1.76644488680176
6	0.012	-0.0980943869799376	-1.76644488680176
7	0.014	-0.0942294823471457	-1.7651565852575
8	0.016	-0.0929411808028817	-1.76257998216897
9	0.018	-0.0942294823471457	-1.76257998216897
10	0.02	-0.0916528792586178	-1.76257998216897
11	0.022	-0.0916528792586178	-1.76257998216897
12	0.024	-0.0942294823471457	-1.76386828371324
13	0.026	-0.0916528792586178	-1.76644488680176
14	0.028	-0.100670990068465	-1.76644488680176
15	0.03	-0.0955177838914096	-1.76644488680176
16	0.032	-0.0980943869799376	-1.7651565852575
17	0.034	-0.0916528792586178	-1.76386828371324
18	0.036	-0.0968060854356736	-1.76129168062471
19	0.038	-0.0916528792586178	-1.76129168062471
20	0.04	-0.0916528792586178	-1.76129168062471
21	0.042	-0.0916528792586178	-1.76129168062471
22	0.044	-0.0903645777143538	-1.76257998216897
23	0.046	-0.0916528792586178	-1.7651565852575
24	0.048	-0.0942294823471457	-1.76644488680176
25	0.05	-0.0955177838914096	-1.7651565852575
26	0.052	-0.0929411808028817	-1.7651565852575
27	0.054	-0.0955177838914096	-1.76386828371324
28	0.056	-0.0903645777143538	-1.76129168062471
29	0.058	-0.0864996730815619	-1.76129168062471
30	0.06	-0.0903645777143538	-1.76129168062471
31	0.062	-0.0877879746258259	-1.76129168062471
32	0.064	-0.0968060854356736	-1.76257998216897
33	0.066	-0.0929411808028817	-1.7651565852575
34	0.068	-0.0942294823471457	-1.7651565852575
35	0.07	-0.0993826885242015	-1.7651565852575
36	0.072	-0.0903645777143538	-1.76386828371324
37	0.074	-0.0942294823471457	-1.76257998216897
38	0.076	-0.0942294823471457	-1.76000337908044
39	0.078	-0.0916528792586178	-1.76000337908044
40	0.08	-0.0916528792586178	-1.76000337908044
41	0.082	-0.0890762761700898	-1.76000337908044
42	0.084	-0.0916528792586178	-1.76129168062471
43	0.086	-0.0890762761700898	-1.76386828371324
44	0.088	-0.0929411808028817	-1.76386828371324
45	0.09	-0.0864996730815619	-1.76386828371324
46	0.092	-0.0890762761700898	-1.76386828371324
47	0.094	-0.0916528792586178	-1.76129168062471
48	0.096	-0.0929411808028817	-1.75871507753618
49	0.098	-0.0877879746258259	-1.75871507753618
50	0.1	-0.0916528792586178	-1.75871507753618
51	0.102	-0.0929411808028817	-1.75871507753618
52	0.104	-0.0929411808028817	-1.76129168062471
53	0.106	-0.0929411808028817	-1.76257998216897
54	0.108	-0.0968060854356736	-1.76257998216897
55	0.11	-0.0993826885242015	-1.76257998216897
56	0.112	-0.0864996730815619	-1.76257998216897
57	0.114	-0.0942294823471457	-1.76129168062471
58	0.116	-0.0916528792586178	-1.75871507753618
59	0.118	-0.0877879746258259	-1.75742677599192
60	0.12	-0.0929411808028817	-1.75871507753618
61	0.122	-0.0877879746258259	-1.75871507753618
62	0.124	-0.0916528792586178	-1.76000337908044
63	0.126	-0.0916528792586178	-1.76129168062471
64	0.128	-0.0903645777143538	-1.76257998216897
65	0.13	-0.0890762761700898	-1.76257998216897
66	0.132	-0.0864996730815619	-1.76129168062471
67	0.134	-0.0955177838914096	-1.76000337908044
68	0.136	-0.0929411808028817	-1.75871507753618
69	0.138	-0.0968060854356736	-1.75742677599192
70	0.14	-0.0916528792586178	-1.75742677599192
71	0.142	-0.0890762761700898	-1.75742677599192
72	0.144	-0.0916528792586178	-1.75871507753618
73	0.146	-0.0864996730815619	-1.76129168062471
74	0.148	-0.0942294823471457	-1.76257998216897
75	0.15	-0.0942294823471457	-1.76129168062471
76	0.152	-0.0864996730815619	-1.76129168062471
77	0.154	-0.0980943869799376	-1.76000337908044
78	0.156	-0.0864996730815619	-1.75742677599192
79	0.158	-0.0903645777143538	-1.75613847444765
80	0.16	-0.0916528792586178	-1.75742677599192
81	0.162	-0.0929411808028817	-1.75742677599192
82	0.164	-0.0864996730815619	-1.75871507753618
83	0.166	-0.0929411808028817	-1.76129168062471
84	0.168	-0.0877879746258259	-1.76129168062471
85	0.17	-0.0916528792586178	-1.76129168062471
86	0.172	-0.0929411808028817	-1.76000337908044
87	0.174	-0.100670990068465	-1.76000337908044
88	0.176	-0.0916528792586178	-1.75742677599192
89	0.178	-0.0929411808028817	-1.75613847444765
90	0.18	-0.0916528792586178	-1.75742677599192
91	0.182	-0.0929411808028817	-1.75613847444765
92	0.184	-0.085211371537298	-1.75871507753618
93	0.186	-0.0993826885242015	-1.76000337908044
94	0.188	-0.0955177838914096	-1.76129168062471
95	0.19	-0.0968060854356736	-1.76000337908044
96	0.192	-0.0916528792586178	-1.76000337908044
97	0.194	-0.0968060854356736	-1.75871507753618
98	0.196	-0.0916528792586178	-1.75613847444765
99	0.198	-0.0916528792586178	-1.75613847444765
100	0.2	-0.0929411808028817	-1.75613847444765
101	0.202	-0.0916528792586178	-1.75613847444765
102	0.204	-0.0968060854356736	-1.75871507753618
103	0.206	-0.0929411808028817	-1.76000337908044
104	0.208	-0.0968060854356736	-1.76000337908044
105	0.21	-0.0929411808028817	-1.76000337908044
106	0.212	-0.0942294823471457	-1.76000337908044
107	0.214	-0.0942294823471457	-1.75871507753618
108	0.216	-0.0916528792586178	-1.75485017290339
109	0.218	-0.0942294823471457	-1.75485017290339
110	0.22	-0.0955177838914096	-1.75485017290339
111	0.222	-0.0968060854356736	-1.75613847444765
112	0.224	-0.0916528792586178	-1.75613847444765
113	0.226	-0.0942294823471457	-1.75871507753618
114	0.228	-0.0942294823471457	-1.75871507753618
115	0.23	-0.0916528792586178	-1.75871507753618
116	0.232	-0.0942294823471457	-1.75871507753618
117	0.234	-0.0903645777143538	-1.75742677599192
118	0.236	-0.100670990068465	-1.75485017290339
119	0.238	-0.0903645777143538	-1.75356187135912
120	0.24	-0.0942294823471457	-1.75356187135912
121	0.242	-0.0903645777143538	-1.75485017290339
122	0.244	-0.0877879746258259	-1.75613847444765
123	0.246	-0.0929411808028817	-1.75871507753618
124	0.248	-0.0916528792586178	-1.75871507753618
125	0.25	-0.0968060854356736	-1.75871507753618
126	0.252	-0.0929411808028817	-1.75742677599192
127	0.254	-0.0942294823471457	-1.75613847444765
128	0.256	-0.0980943869799376	-1.75356187135912
129	0.258	-0.0903645777143538	-1.75356187135912
130	0.26	-0.0968060854356736	-1.75356187135912
131	0.262	-0.0903645777143538	-1.75356187135912
132	0.264	-0.0916528792586178	-1.75485017290339
133	0.266	-0.0890762761700898	-1.75613847444765
134	0.268	-0.0980943869799376	-1.75742677599192
135	0.27	-0.0955177838914096	-1.75613847444765
136	0.272	-0.0877879746258259	-1.75613847444765
137	0.274	-0.0955177838914096	-1.75485017290339
138	0.276	-0.0955177838914096	-1.75227356981486
139	0.278	-0.0968060854356736	-1.75227356981486
140	0.28	-0.0903645777143538	-1.7509852682706
141	0.282	-0.0955177838914096	-1.75227356981486
142	0.284	-0.0942294823471457	-1.75356187135912
143	0.286	-0.0955177838914096	-1.75485017290339
144	0.288	-0.0942294823471457	-1.75613847444765
145	0.29	-0.0916528792586178	-1.75613847444765
146	0.292	-0.0929411808028817	-1.75485017290339
147	0.294	-0.0942294823471457	-1.75356187135912
148	0.296	-0.0955177838914096	-1.7509852682706
149	0.298	-0.0955177838914096	-1.74969696672633
150	0.3	-0.0916528792586178	-1.7509852682706
151	0.302	-0.0955177838914096	-1.7509852682706
152	0.304	-0.0929411808028817	-1.7509852682706
153	0.306	-0.0968060854356736	-1.75485017290339
154	0.308	-0.0916528792586178	-1.75485017290339
155	0.31	-0.0993826885242015	-1.75485017290339
156	0.312	-0.0903645777143538	-1.75356187135912
157	0.314	-0.0955177838914096	-1.75227356981486
158	0.316	-0.0955177838914096	-1.74969696672633
159	0.318	-0.0968060854356736	-1.74969696672633
160	0.32	-0.0993826885242015	-1.74969696672633
161	0.322	-0.0916528792586178	-1.74969696672633
162	0.324	-0.0955177838914096	-1.7509852682706
163	0.326	-0.0929411808028817	-1.75356187135912
164	0.328	-0.0942294823471457	-1.75356187135912
165	0.33	-0.0968060854356736	-1.75227356981486
166	0.332	-0.0890762761700898	-1.75356187135912
167	0.334	-0.0916528792586178	-1.7509852682706
168	0.336	-0.0980943869799376	-1.74969696672633
169	0.338	-0.0955177838914096	-1.74840866518207
170	0.34	-0.0942294823471457	-1.74840866518207
171	0.342	-0.0929411808028817	-1.74840866518207
172	0.344	-0.0929411808028817	-1.74969696672633
173	0.346	-0.0929411808028817	-1.75227356981486
174	0.348	-0.100670990068465	-1.75356187135912
175	0.35	-0.0903645777143538	-1.75227356981486
176	0.352	-0.0942294823471457	-1.75227356981486
177	0.354	-0.0993826885242015	-1.7509852682706
