Number of measurement points: 42922
Sample Rate (Hz): 500
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0581570391077548	-1.63246152619831
1	0.002	-0.0645985468290746	-1.63246152619831
2	0.004	-0.0671751499176025	-1.63117322465405
3	0.006	-0.0633102452848107	-1.63117322465405
4	0.008	-0.0645985468290746	-1.62859662156552
5	0.01	-0.0607336421962827	-1.62730832002126
6	0.012	-0.0607336421962827	-1.62730832002126
7	0.014	-0.0555804360192269	-1.62730832002126
8	0.016	-0.0581570391077548	-1.62859662156552
9	0.018	-0.0658868483733386	-1.62988492310978
10	0.02	-0.0658868483733386	-1.63246152619831
11	0.022	-0.0671751499176025	-1.63246152619831
12	0.024	-0.0633102452848107	-1.63246152619831
13	0.026	-0.0594453406520188	-1.63117322465405
14	0.028	-0.0633102452848107	-1.62859662156552
15	0.03	-0.0607336421962827	-1.62730832002126
16	0.032	-0.0633102452848107	-1.62730832002126
17	0.034	-0.0594453406520188	-1.62730832002126
18	0.036	-0.0607336421962827	-1.62859662156552
19	0.038	-0.0658868483733386	-1.63117322465405
20	0.04	-0.0594453406520188	-1.63246152619831
21	0.042	-0.0658868483733386	-1.63246152619831
22	0.044	-0.0620219437405467	-1.63117322465405
23	0.046	-0.0684634514618665	-1.63117322465405
24	0.048	-0.0594453406520188	-1.62859662156552
25	0.05	-0.0607336421962827	-1.62730832002126
26	0.052	-0.0581570391077548	-1.62730832002126
27	0.054	-0.0542921344749629	-1.62859662156552
28	0.056	-0.0620219437405467	-1.62859662156552
29	0.058	-0.0568687375634909	-1.62988492310978
30	0.06	-0.0607336421962827	-1.63246152619831
31	0.062	-0.0697517530061305	-1.63246152619831
32	0.064	-0.0697517530061305	-1.63246152619831
33	0.066	-0.0658868483733386	-1.63117322465405
34	0.068	-0.0607336421962827	-1.62859662156552
35	0.07	-0.0620219437405467	-1.62730832002126
36	0.072	-0.0594453406520188	-1.62730832002126
37	0.074	-0.0594453406520188	-1.62730832002126
38	0.076	-0.0594453406520188	-1.62730832002126
39	0.078	-0.0671751499176025	-1.63117322465405
40	0.08	-0.0633102452848107	-1.63246152619831
41	0.082	-0.0633102452848107	-1.63246152619831
42	0.084	-0.0658868483733386	-1.63246152619831
43	0.086	-0.0620219437405467	-1.63117322465405
44	0.088	-0.0645985468290746	-1.62859662156552
45	0.09	-0.0581570391077548	-1.62730832002126
46	0.092	-0.0568687375634909	-1.62730832002126
47	0.094	-0.0555804360192269	-1.62730832002126
48	0.096	-0.0684634514618665	-1.62859662156552
49	0.098	-0.0620219437405467	-1.62988492310978
50	0.1	-0.0684634514618665	-1.63246152619831
51	0.102	-0.0620219437405467	-1.63246152619831
52	0.104	-0.0568687375634909	-1.63246152619831
53	0.106	-0.0633102452848107	-1.63117322465405
54	0.108	-0.0620219437405467	-1.62859662156552
55	0.11	-0.0568687375634909	-1.62730832002126
56	0.112	-0.0645985468290746	-1.62730832002126
57	0.114	-0.0607336421962827	-1.62730832002126
58	0.116	-0.0633102452848107	-1.62730832002126
59	0.118	-0.0581570391077548	-1.62988492310978
